month,ward_number,ward_name,connections,consumption_ml,location_id
2025-04-01,29,Kacharakanahalli,4843,140.21,29_kacharakanahalli
2025-04-01,30,Kadugondanahalli,5207,137.32,30_kadugondanahalli
2025-04-01,31,Kushalnagar,3141,57.32,31_kushalnagar
2025-04-01,32,Kavalbyrasandra,5575,117.82,32_kavalbyrasandra
2025-04-01,33,Manorayanapalya,2646,58.59,33_manorayanapalya
2025-04-01,34,Gangenahalli,2319,53.63,34_gangenahalli
2025-04-01,35,Aramane Nagar,2945,81.55,35_aramane_nagar
2025-04-01,36,Mathikere,4132,93.11,36_mathikere
2025-04-01,37,Yeshwanthpur,3184,66.86,37_yeshwanthpur
2025-04-01,38,H.M.T,3651,144.79,38_h.m.t
2025-04-01,39,Chokkasandra,5777,154.95,39_chokkasandra
2025-04-01,40,Doddabidirakalu,1,0.0,40_doddabidirakalu
2025-04-01,41,Peenya Industrial Area,6934,206.45,41_peenya_industrial_area
2025-04-01,42,Lakshmidevinagar,5139,115.56,42_lakshmidevinagar
2025-04-01,43,Nandini Layout,6431,162.55,43_nandini_layout
2025-04-01,44,Marappanahalli,4440,128.2,44_marappanahalli
2025-04-01,45,Malleshwaram,3649,111.08,45_malleshwaram
2025-04-01,46,Jayachamarajendra Nagar,5311,200.64,46_jayachamarajendra_nagar
2025-04-01,47,Devarajeevanahalli,3756,79.63,47_devarajeevanahalli
2025-04-01,48,Muneshwaranagar,2190,36.97,48_muneshwaranagar
2025-04-01,49,Lingarajapura,5704,98.9,49_lingarajapura
2025-04-01,50,Benniganahalli,5873,393.16,50_benniganahalli
2025-04-01,51,Vijinapura,6164,130.3,51_vijinapura
2025-04-01,52,K.R.Puram,8758,166.47,52_k.r.puram
2025-04-01,53,Basavanapura,7839,180.35,53_basavanapura
2025-04-01,54,Hoodi,5061,311.37,54_hoodi
2025-04-01,55,Devasandra,3181,85.56,55_devasandra
2025-04-01,56,A. Narayanapura,8391,230.23,56_a._narayanapura
2025-04-01,57,C.V. Ramannagar,3235,98.7,57_c.v._ramannagar
2025-04-01,58,Hosathippasandra,6011,165.38,58_hosathippasandra
2025-04-01,59,Maruthiseva Nagar,5621,164.06,59_maruthiseva_nagar
2025-04-01,60,Sagayapuram,4404,100.83,60_sagayapuram
2025-04-01,61,S.K. Garden,2886,83.86,61_s.k._garden
2025-04-01,62,Ramaswamy Palya,3129,83.76,62_ramaswamy_palya
2025-04-01,63,Jayamahal,3068,124.91,63_jayamahal
2025-04-01,64,Rajamahal,3690,95.26,64_rajamahal
2025-04-01,65,Kadumalleshwara,5599,164.13,65_kadumalleshwara
2025-04-01,66,Subramanyanagar,4279,131.37,66_subramanyanagar
2025-04-01,67,Nagapura,5780,189.79,67_nagapura
2025-04-01,68,Mahalakshmipuram,5083,138.51,68_mahalakshmipuram
2025-04-01,69,Laggere,10189,259.23,69_laggere
2025-04-01,70,Rajagopalanagar,8212,209.44,70_rajagopalanagar
2025-04-01,71,Hegganahalli,8632,243.06,71_hegganahalli
2025-04-01,72,Herohalli,10279,219.96,72_herohalli
2025-04-01,73,Kottigepalya,8428,219.85,73_kottigepalya
2025-04-01,74,Shakthiganapathi Nagar,6104,164.24,74_shakthiganapathi_nagar
2025-04-01,75,Shankaramata,5201,159.44,75_shankaramata
2025-04-01,76,Gayathrinagar,4364,117.99,76_gayathrinagar
2025-04-01,77,Dattathreya Temple,4474,118.81,77_dattathreya_temple
2025-04-01,78,Pulikeshinagar,3585,122.16,78_pulikeshinagar
2025-04-01,79,Sarvagnanagar,3457,82.76,79_sarvagnanagar
2025-04-01,80,Hoysalanagar,5472,162.83,80_hoysalanagar
2025-04-01,81,Vignananagar,6961,203.26,81_vignananagar
2025-04-01,82,Garudacharpalya,4322,182.53,82_garudacharpalya
2025-04-01,83,Kadugodi,859,31.74,83_kadugodi
2025-04-01,84,Hagadooru,1988,99.94,84_hagadooru
2025-04-01,85,Doddanekkundi,5543,317.52,85_doddanekkundi
2025-04-01,85,Varthur,708,68.36,85_varthur
2025-04-01,86,Marathalli,4521,158.91,86_marathalli
2025-04-01,87,Hal Airport,4360,94.93,87_hal_airport
2025-04-01,88,Jeevanbhimanagar,6014,163.31,88_jeevanbhimanagar
2025-04-01,89,Jogupalya,4074,133.49,89_jogupalya
2025-04-01,90,Ulsoor,5595,333.61,90_ulsoor
2025-04-01,91,Bharathinagar,2233,108.84,91_bharathinagar
2025-04-01,92,Shivajinagar,5116,193.68,92_shivajinagar
2025-04-01,93,Vasanthnagar,3733,277.32,93_vasanthnagar
2025-04-01,94,Gandhinagar,4769,350.22,94_gandhinagar
2025-04-01,95,Subhashnagar,3090,61.12,95_subhashnagar
2025-04-01,96,Okalipuram,3416,139.88,96_okalipuram
2025-04-01,97,Dayanandanagar,3492,83.97,97_dayanandanagar
2025-04-01,98,Prakashnagar,3074,82.36,98_prakashnagar
2025-04-01,99,Rajajinagar,3908,119.79,99_rajajinagar
2025-04-01,100,Basaveshwaranagar,5760,177.26,100_basaveshwaranagar
2025-04-01,101,Kamakshipalya,3679,102.95,101_kamakshipalya
2025-04-01,102,Vrushabhavathi Nagar,4170,108.23,102_vrushabhavathi_nagar
2025-04-01,103,Kaveripura,5038,120.28,103_kaveripura
2025-04-01,104,Govindrajnagara,2867,69.12,104_govindrajnagara
2025-04-01,105,Agrahara Dasarahalli,3205,106.43,105_agrahara_dasarahalli
2025-04-01,106,Dr. Rajkumar Ward,2468,90.88,106_dr._rajkumar_ward
2025-04-01,107,Shivanagar,2453,92.23,107_shivanagar
2025-04-01,108,Srirammandira Ward,4675,125.64,108_srirammandira_ward
2025-04-01,109,Chikpet,5590,115.2,109_chikpet
2025-04-01,110,Sampangiramnagar,3021,137.8,110_sampangiramnagar
2025-04-01,111,Shanthala Nagar,3773,241.22,111_shanthala_nagar
2025-04-01,112,Dommalur,4743,211.98,112_dommalur
2025-04-01,113,Konena Agrahara,3932,131.51,113_konena_agrahara
2025-04-01,114,Agaram,2927,152.89,114_agaram
2025-04-01,115,Vannarpet,5169,111.0,115_vannarpet
2025-04-01,116,Neelasandra,2635,63.04,116_neelasandra
2025-04-01,117,Shanthinagar,6204,257.64,117_shanthinagar
2025-04-01,118,Sudamnagar,5136,99.74,118_sudamnagar
2025-04-01,119,Dharmarayaswamy Temple Ward,4952,99.4,119_dharmarayaswamy_temple_ward
2025-04-01,120,Cottonpet,3062,65.28,120_cottonpet
2025-04-01,121,Binnypet,4552,106.7,121_binnypet
2025-04-01,122,Kempapura Agrahara,3878,86.66,122_kempapura_agrahara
2025-04-01,123,Vijaynagar,3591,94.86,123_vijaynagar
2025-04-01,124,Hosahalli,4505,121.1,124_hosahalli
2025-04-01,125,Marenahalli,3378,94.62,125_marenahalli
2025-04-01,126,Maruthi Mandira Ward,4020,108.37,126_maruthi_mandira_ward
2025-04-01,127,Moodalapalya,5827,147.14,127_moodalapalya
2025-04-01,128,Nagarabhavi,10788,281.93,128_nagarabhavi
2025-04-01,129,Jnanabharathi Ward,13690,363.63,129_jnanabharathi_ward
2025-04-01,130,Ullalu,8778,201.38,130_ullalu
2025-04-01,131,Nayandanahalli,4328,139.38,131_nayandanahalli
2025-04-01,132,Attiguppe,5466,185.87,132_attiguppe
2025-04-01,133,Hampinagar,3033,86.64,133_hampinagar
2025-04-01,134,Bapujinagar,4450,142.84,134_bapujinagar
2025-04-01,135,Padarayanapura,2000,73.7,135_padarayanapura
2025-04-01,136,Jagareevanram Nagar,4825,134.73,136_jagareevanram_nagar
2025-04-01,137,Rayapuram,3451,88.18,137_rayapuram
2025-04-01,138,Chalavadipalya,2412,56.77,138_chalavadipalya
2025-04-01,139,K.R. Market,2931,53.52,139_k.r._market
2025-04-01,140,Chamrajpet,4797,171.7,140_chamrajpet
2025-04-01,141,Azadnagar,4019,110.04,141_azadnagar
2025-04-01,142,Sunkenahalli,2843,66.38,142_sunkenahalli
2025-04-01,143,Vishweshrapuram,4751,119.44,143_vishweshrapuram
2025-04-01,144,Siddapura,4541,121.53,144_siddapura
2025-04-01,145,Hombegowdanagar,6496,200.06,145_hombegowdanagar
2025-04-01,146,Lakkasandra,2834,104.55,146_lakkasandra
2025-04-01,147,Adugodi,3402,109.28,147_adugodi
2025-04-01,148,Ejipura,4773,140.99,148_ejipura
2025-04-01,149,Varthur,3299,150.54,149_varthur
2025-04-01,150,Bellandur,4468,363.73,150_bellandur
2025-04-01,151,Koramangala,7103,289.52,151_koramangala
2025-04-01,152,Sudduguntepalya,4054,153.16,152_sudduguntepalya
2025-04-01,153,Jayanagar,339,8.47,153_jayanagar
2025-04-01,153,Jayangar,3638,177.0,153_jayangar
2025-04-01,154,Basavanagudi,5783,145.01,154_basavanagudi
2025-04-01,155,Hanumanthanagar,4129,98.16,155_hanumanthanagar
2025-04-01,156,Srinagar,5661,148.58,156_srinagar
2025-04-01,157,Gali Anjaneya Swamy Temple Ward,5379,142.84,157_gali_anjaneya_swamy_temple_ward
2025-04-01,158,Deepanjali Nagar,2932,85.05,158_deepanjali_nagar
2025-04-01,159,Kengeri,14325,289.82,159_kengeri
2025-04-01,160,Rajarajeshwarinagar,16092,466.92,160_rajarajeshwarinagar
2025-04-01,161,Hosakerehalli,7344,186.91,161_hosakerehalli
2025-04-01,162,Girinagar,7691,195.05,162_girinagar
2025-04-01,163,Katriguppe,6548,155.45,163_katriguppe
2025-04-01,164,Vidyapeetha Ward,4720,111.14,164_vidyapeetha_ward
2025-04-01,165,Ganeshmandira Ward,4481,121.06,165_ganeshmandira_ward
2025-04-01,166,Karisandra,4632,124.53,166_karisandra
2025-04-01,167,Yadiyuru,4386,111.26,167_yadiyuru
2025-04-01,168,Pattabhiramnagar,4307,150.94,168_pattabhiramnagar
2025-04-01,169,Byrasandra,3834,123.92,169_byrasandra
2025-04-01,170,Jayanagar East,3877,110.37,170_jayanagar_east
2025-04-01,171,Gurappanapalya,4049,180.7,171_gurappanapalya
2025-04-01,172,Madiwala,5543,174.18,172_madiwala
2025-04-01,173,Jakkasandra,2844,139.54,173_jakkasandra
2025-04-01,174,Hsr Layout,14047,589.04,174_hsr_layout
2025-04-01,175,Bommanahalli,6462,297.31,175_bommanahalli
2025-04-01,176,Btm Layout,7534,262.96,176_btm_layout
2025-04-01,177,J.P.Nagar,5600,185.89,177_j.p.nagar
2025-04-01,178,Sarakki,5634,185.99,178_sarakki
2025-04-01,179,Shakambarinagar,3777,120.01,179_shakambarinagar
2025-04-01,180,Banashankari Temple Ward,5161,124.02,180_banashankari_temple_ward
2025-04-01,181,Kumaraswamy Layout,8342,284.52,181_kumaraswamy_layout
2025-04-01,182,Padmanabhanagar,6033,193.94,182_padmanabhanagar
2025-04-01,183,Chikkallasandra,5157,136.88,183_chikkallasandra
2025-04-01,184,Uttarahalli,8753,343.42,184_uttarahalli
2025-04-01,185,Yelachenahalli,6254,193.81,185_yelachenahalli
2025-04-01,186,Jaraganahalli,3040,86.49,186_jaraganahalli
2025-04-01,187,Puttenahalli,4568,156.11,187_puttenahalli
2025-04-01,188,Bilekahalli,4381,257.4,188_bilekahalli
2025-04-01,189,Hongasandra,8261,361.2,189_hongasandra
2025-04-01,190,Mangammanapalya,3166,91.17,190_mangammanapalya
2025-04-01,191,Singasandra,3301,134.07,191_singasandra
2025-04-01,191,Singsandra,900,36.5,191_singsandra
2025-04-01,192,Begur,5945,322.32,192_begur
2025-04-01,193,Arakere,9960,365.94,193_arakere
2025-04-01,194,Gottigere,3488,104.74,194_gottigere
2025-04-01,195,Konanakunte,9935,308.44,195_konanakunte
2025-04-01,196,Anjanapura,7294,278.96,196_anjanapura
2025-04-01,197,Vasanthapura,4342,167.12,197_vasanthapura
2025-04-01,198,Hemmigepura,3752,82.15,198_hemmigepura
2025-05-01,1,Kempegowda Ward,4216,117.162903,1_kempegowda_ward
2025-05-01,2,Chowdeshwari Ward,460,9.834984,2_chowdeshwari_ward
2025-05-01,3,Attur,6021,172.740708,3_attur
2025-05-01,4,Yelahanka Satellite Town,7738,394.049364,4_yelahanka_satellite_town
2025-05-01,5,Jakkur,3701,106.378915,5_jakkur
2025-05-01,6,Thanisandra,3254,58.276968,6_thanisandra
2025-05-01,7,Byatarayanapura,9677,293.991676,7_byatarayanapura
2025-05-01,8,Kodigehalli,5326,129.718842,8_kodigehalli
2025-05-01,9,Vidyaranyapura,12937,413.968716,9_vidyaranyapura
2025-05-01,10,Doddabommasandra,1815,27.946927,10_doddabommasandra
2025-05-01,11,Kuvempunagar,4379,64.060929,11_kuvempunagar
2025-05-01,12,Shettyhalli,6941,141.255896,12_shettyhalli
2025-05-01,13,Mallasandra,4488,75.69585,13_mallasandra
2025-05-01,14,Bagalagunte,8755,235.373706,14_bagalagunte
2025-05-01,14,Sidedahalli,1484,35.449991,14_sidedahalli
2025-05-01,15,T. Dasarahalli,4563,154.369729,15_t._dasarahalli
2025-05-01,16,Jalahalli,3106,96.624712,16_jalahalli
2025-05-01,17,J.P.Park,5734,123.920567,17_j.p.park
2025-05-01,18,Radhakrishna Temple Ward,5518,99.818419,18_radhakrishna_temple_ward
2025-05-01,19,Sanjaynagar,5805,81.705648,19_sanjaynagar
2025-05-01,20,Ganganagar,3323,75.431677,20_ganganagar
2025-05-01,21,Hebbal,7440,166.686508,21_hebbal
2025-05-01,22,Vishwanathnagenahalli,3273,81.647843,22_vishwanathnagenahalli
2025-05-01,23,Nagavara,9030,198.581714,23_nagavara
2025-05-01,24,Hbr Layout,8045,254.881725,24_hbr_layout
2025-05-01,25,Horamavu,5956,111.875924,25_horamavu
2025-05-01,26,Ramamurthynagar,9275,258.446783,26_ramamurthynagar
2025-05-01,27,Banasawadi,9588,290.771626,27_banasawadi
2025-05-01,28,Kammanahalli,6629,187.375704,28_kammanahalli
2025-05-01,29,Kacharakanahalli,4855,137.356726,29_kacharakanahalli
2025-05-01,30,Kadugondanahalli,5211,137.676756,30_kadugondanahalli
2025-05-01,31,Kushalnagar,3145,55.447731,31_kushalnagar
2025-05-01,32,Kavalbyrasandra,5575,119.65161,32_kavalbyrasandra
2025-05-01,33,Manorayanapalya,2656,61.842865,33_manorayanapalya
2025-05-01,34,Gangenahalli,2322,53.024765,34_gangenahalli
2025-05-01,35,Aramane Nagar,2949,78.241563,35_aramane_nagar
2025-05-01,36,Mathikere,4135,87.519487,36_mathikere
2025-05-01,37,Yeshwanthpur,3203,62.124588,37_yeshwanthpur
2025-05-01,38,H.M.T,3651,142.55859,38_h.m.t
2025-05-01,39,Chokkasandra,5789,137.460621,39_chokkasandra
2025-05-01,40,Doddabidirakalu,1,0.0,40_doddabidirakalu
2025-05-01,41,Peenya Industrial Area,7180,200.330235,41_peenya_industrial_area
2025-05-01,42,Lakshmidevinagar,5139,110.827626,42_lakshmidevinagar
2025-05-01,43,Nandini Layout,6435,157.265414,43_nandini_layout
2025-05-01,44,Marappanahalli,4440,125.935334,44_marappanahalli
2025-05-01,45,Malleshwaram,3652,110.049451,45_malleshwaram
2025-05-01,46,Jayachamarajendra Nagar,5315,194.482461,46_jayachamarajendra_nagar
2025-05-01,47,Devarajeevanahalli,3758,81.421968,47_devarajeevanahalli
2025-05-01,48,Muneshwaranagar,2197,36.84481,48_muneshwaranagar
2025-05-01,49,Lingarajapura,5709,99.4827,49_lingarajapura
2025-05-01,50,Benniganahalli,5875,381.666539,50_benniganahalli
2025-05-01,51,Vijinapura,6182,133.152879,51_vijinapura
2025-05-01,52,K.R.Puram,8774,160.446882,52_k.r.puram
2025-05-01,53,Basavanapura,7944,167.134908,53_basavanapura
2025-05-01,54,Hoodi,5112,328.625894,54_hoodi
2025-05-01,55,Devasandra,3201,80.751933,55_devasandra
2025-05-01,56,A. Narayanapura,8394,227.52469,56_a._narayanapura
2025-05-01,57,C.V. Ramannagar,3243,82.7016,57_c.v._ramannagar
2025-05-01,58,Hosathippasandra,6018,155.931423,58_hosathippasandra
2025-05-01,59,Maruthiseva Nagar,5620,164.620274,59_maruthiseva_nagar
2025-05-01,60,Sagayapuram,4413,97.762688,60_sagayapuram
2025-05-01,61,S.K. Garden,2885,82.263737,61_s.k._garden
2025-05-01,62,Ramaswamy Palya,3129,78.322695,62_ramaswamy_palya
2025-05-01,63,Jayamahal,3070,114.152557,63_jayamahal
2025-05-01,64,Rajamahal,3692,89.709442,64_rajamahal
2025-05-01,65,Kadumalleshwara,5601,158.470048,65_kadumalleshwara
2025-05-01,66,Subramanyanagar,4280,128.363623,66_subramanyanagar
2025-05-01,67,Nagapura,5781,178.880286,67_nagapura
2025-05-01,68,Mahalakshmipuram,5090,131.653722,68_mahalakshmipuram
2025-05-01,69,Laggere,10193,249.190249,69_laggere
2025-05-01,70,Rajagopalanagar,8234,207.697362,70_rajagopalanagar
2025-05-01,71,Hegganahalli,8638,234.217365,71_hegganahalli
2025-05-01,72,Herohalli,10449,211.033904,72_herohalli
2025-05-01,73,Kottigepalya,8440,205.043573,73_kottigepalya
2025-05-01,74,Shakthiganapathi Nagar,6105,163.552597,74_shakthiganapathi_nagar
2025-05-01,75,Shankaramata,5202,151.333702,75_shankaramata
2025-05-01,76,Gayathrinagar,4368,119.317522,76_gayathrinagar
2025-05-01,77,Dattathreya Temple,4479,115.475364,77_dattathreya_temple
2025-05-01,78,Pulikeshinagar,3600,119.374291,78_pulikeshinagar
2025-05-01,79,Sarvagnanagar,3447,79.854556,79_sarvagnanagar
2025-05-01,80,Hoysalanagar,5468,161.85611,80_hoysalanagar
2025-05-01,81,Vignananagar,7006,196.452815,81_vignananagar
2025-05-01,82,Garudacharpalya,4335,192.16685,82_garudacharpalya
2025-05-01,83,Kadugodi,893,41.809977,83_kadugodi
2025-05-01,84,Hagadooru,1997,115.898916,84_hagadooru
2025-05-01,85,Doddanekkundi,5585,352.123801,85_doddanekkundi
2025-05-01,85,Varthur,874,80.608999,85_varthur
2025-05-01,86,Marathalli,4552,152.061627,86_marathalli
2025-05-01,87,Hal Airport,4368,92.994894,87_hal_airport
2025-05-01,88,Jeevanbhimanagar,6009,154.661774,88_jeevanbhimanagar
2025-05-01,89,Jogupalya,4072,133.944481,89_jogupalya
2025-05-01,90,Ulsoor,5602,334.134066,90_ulsoor
2025-05-01,91,Bharathinagar,2232,98.87974,91_bharathinagar
2025-05-01,92,Shivajinagar,5127,210.734564,92_shivajinagar
2025-05-01,93,Vasanthnagar,3732,247.833114,93_vasanthnagar
2025-05-01,94,Gandhinagar,4770,355.686467,94_gandhinagar
2025-05-01,95,Subhashnagar,3091,58.777722,95_subhashnagar
2025-05-01,96,Okalipuram,3419,141.619605,96_okalipuram
2025-05-01,97,Dayanandanagar,3495,83.033573,97_dayanandanagar
2025-05-01,98,Prakashnagar,3075,79.914633,98_prakashnagar
2025-05-01,99,Rajajinagar,3914,111.847578,99_rajajinagar
2025-05-01,100,Basaveshwaranagar,5761,170.032536,100_basaveshwaranagar
2025-05-01,101,Kamakshipalya,3681,101.161744,101_kamakshipalya
2025-05-01,102,Vrushabhavathi Nagar,4170,109.047777,102_vrushabhavathi_nagar
2025-05-01,103,Kaveripura,5036,106.625786,103_kaveripura
2025-05-01,104,Govindrajnagara,2875,70.830807,104_govindrajnagara
2025-05-01,105,Agrahara Dasarahalli,3208,94.969715,105_agrahara_dasarahalli
2025-05-01,106,Dr. Rajkumar Ward,2468,83.199639,106_dr._rajkumar_ward
2025-05-01,107,Shivanagar,2453,85.293681,107_shivanagar
2025-05-01,108,Srirammandira Ward,4674,119.781149,108_srirammandira_ward
2025-05-01,109,Chikpet,5596,107.323309,109_chikpet
2025-05-01,110,Sampangiramnagar,3008,131.926355,110_sampangiramnagar
2025-05-01,111,Shanthala Nagar,3775,232.39305,111_shanthala_nagar
2025-05-01,112,Dommalur,4751,192.857449,112_dommalur
2025-05-01,113,Konena Agrahara,3931,123.475721,113_konena_agrahara
2025-05-01,114,Agaram,2928,152.394739,114_agaram
2025-05-01,115,Vannarpet,5170,108.132011,115_vannarpet
2025-05-01,116,Neelasandra,2637,63.282671,116_neelasandra
2025-05-01,117,Shanthinagar,6207,254.725243,117_shanthinagar
2025-05-01,118,Sudamnagar,5143,97.420952,118_sudamnagar
2025-05-01,119,Dharmarayaswamy Temple Ward,4963,95.417962,119_dharmarayaswamy_temple_ward
2025-05-01,120,Cottonpet,3063,60.490453,120_cottonpet
2025-05-01,121,Binnypet,4567,103.995717,121_binnypet
2025-05-01,122,Kempapura Agrahara,3880,85.911877,122_kempapura_agrahara
2025-05-01,123,Vijaynagar,3594,91.408822,123_vijaynagar
2025-05-01,124,Hosahalli,4506,118.094825,124_hosahalli
2025-05-01,125,Marenahalli,3389,90.983812,125_marenahalli
2025-05-01,126,Maruthi Mandira Ward,4021,104.771818,126_maruthi_mandira_ward
2025-05-01,127,Moodalapalya,5838,134.324715,127_moodalapalya
2025-05-01,128,Nagarabhavi,10806,269.50334,128_nagarabhavi
2025-05-01,129,Jnanabharathi Ward,13728,345.978554,129_jnanabharathi_ward
2025-05-01,130,Ullalu,8861,193.780847,130_ullalu
2025-05-01,131,Nayandanahalli,4342,127.168738,131_nayandanahalli
2025-05-01,132,Attiguppe,5472,176.13573,132_attiguppe
2025-05-01,133,Hampinagar,3027,84.724916,133_hampinagar
2025-05-01,134,Bapujinagar,4445,134.983848,134_bapujinagar
2025-05-01,135,Padarayanapura,2026,72.685915,135_padarayanapura
2025-05-01,136,Jagareevanram Nagar,4823,129.442654,136_jagareevanram_nagar
2025-05-01,137,Rayapuram,3459,82.687897,137_rayapuram
2025-05-01,138,Chalavadipalya,2391,55.44385,138_chalavadipalya
2025-05-01,139,K.R. Market,2928,51.025021,139_k.r._market
2025-05-01,140,Chamrajpet,4781,167.298275,140_chamrajpet
2025-05-01,141,Azadnagar,4020,106.224727,141_azadnagar
2025-05-01,142,Sunkenahalli,2892,65.56778,142_sunkenahalli
2025-05-01,143,Vishweshrapuram,4731,118.150168,143_vishweshrapuram
2025-05-01,144,Siddapura,4482,123.53897,144_siddapura
2025-05-01,145,Hombegowdanagar,6512,195.781641,145_hombegowdanagar
2025-05-01,146,Lakkasandra,2834,99.351478,146_lakkasandra
2025-05-01,147,Adugodi,3410,111.336782,147_adugodi
2025-05-01,148,Ejipura,4783,138.261629,148_ejipura
2025-05-01,149,Varthur,3304,162.719888,149_varthur
2025-05-01,150,Bellandur,4586,366.236874,150_bellandur
2025-05-01,151,Koramangala,7141,293.649218,151_koramangala
2025-05-01,152,Sudduguntepalya,4065,150.231599,152_sudduguntepalya
2025-05-01,153,Jayanagar,339,8.532939,153_jayanagar
2025-05-01,153,Jayangar,3639,177.259488,153_jayangar
2025-05-01,154,Basavanagudi,5790,145.827207,154_basavanagudi
2025-05-01,155,Hanumanthanagar,4134,91.831765,155_hanumanthanagar
2025-05-01,156,Srinagar,5669,150.041763,156_srinagar
2025-05-01,157,Gali Anjaneya Swamy Temple Ward,5380,144.656701,157_gali_anjaneya_swamy_temple_ward
2025-05-01,158,Deepanjali Nagar,2932,84.863883,158_deepanjali_nagar
2025-05-01,159,Kengeri,14370,285.263301,159_kengeri
2025-05-01,160,Rajarajeshwarinagar,16178,461.200442,160_rajarajeshwarinagar
2025-05-01,161,Hosakerehalli,7352,174.81071,161_hosakerehalli
2025-05-01,162,Girinagar,7722,191.641687,162_girinagar
2025-05-01,163,Katriguppe,6514,148.072706,163_katriguppe
2025-05-01,164,Vidyapeetha Ward,4754,107.475651,164_vidyapeetha_ward
2025-05-01,165,Ganeshmandira Ward,4492,114.317599,165_ganeshmandira_ward
2025-05-01,166,Karisandra,4635,121.679634,166_karisandra
2025-05-01,167,Yadiyuru,4395,110.009544,167_yadiyuru
2025-05-01,168,Pattabhiramnagar,4310,143.078301,168_pattabhiramnagar
2025-05-01,169,Byrasandra,3834,118.080591,169_byrasandra
2025-05-01,170,Jayanagar East,3885,106.826715,170_jayanagar_east
2025-05-01,171,Gurappanapalya,4053,181.812726,171_gurappanapalya
2025-05-01,172,Madiwala,5565,174.516595,172_madiwala
2025-05-01,173,Jakkasandra,2855,135.570756,173_jakkasandra
2025-05-01,174,Hsr Layout,14074,570.214951,174_hsr_layout
2025-05-01,175,Bommanahalli,6496,292.759758,175_bommanahalli
2025-05-01,176,Btm Layout,7547,256.100431,176_btm_layout
2025-05-01,177,J.P.Nagar,5605,184.008591,177_j.p.nagar
2025-05-01,178,Sarakki,5625,177.076511,178_sarakki
2025-05-01,179,Shakambarinagar,3775,113.926578,179_shakambarinagar
2025-05-01,180,Banashankari Temple Ward,5167,118.676678,180_banashankari_temple_ward
2025-05-01,181,Kumaraswamy Layout,8353,265.596624,181_kumaraswamy_layout
2025-05-01,182,Padmanabhanagar,6033,181.428747,182_padmanabhanagar
2025-05-01,183,Chikkallasandra,5161,135.428797,183_chikkallasandra
2025-05-01,184,Uttarahalli,9027,319.669838,184_uttarahalli
2025-05-01,185,Yelachenahalli,6472,190.473755,185_yelachenahalli
2025-05-01,186,Jaraganahalli,3042,79.164828,186_jaraganahalli
2025-05-01,187,Puttenahalli,4586,153.1398,187_puttenahalli
2025-05-01,188,Bilekahalli,4382,243.745832,188_bilekahalli
2025-05-01,189,Hongasandra,8287,350.52686,189_hongasandra
2025-05-01,190,Mangammanapalya,3197,90.89089,190_mangammanapalya
2025-05-01,191,Singasandra,3366,130.493976,191_singasandra
2025-05-01,191,Singsandra,906,35.801957,191_singsandra
2025-05-01,192,Begur,6254,317.500943,192_begur
2025-05-01,193,Arakere,9985,367.116503,193_arakere
2025-05-01,194,Gottigere,3616,97.966944,194_gottigere
2025-05-01,195,Konanakunte,9973,295.339582,195_konanakunte
2025-05-01,196,Anjanapura,7529,277.485835,196_anjanapura
2025-05-01,197,Vasanthapura,4341,151.926934,197_vasanthapura
2025-05-01,198,Hemmigepura,3932,87.627895,198_hemmigepura
