Month	Ward number 	Ward Name	Number of Connectionss	Consumption in ML
01-04-2025	166	Karisandra	4632	124.53
01-04-2025	167	Yadiyuru	4386	111.26
01-04-2025	168	Pattabhiramnagar	4307	150.94
01-04-2025	169	Byrasandra	3834	123.92
01-04-2025	170	Jayanagar East	3877	110.37
01-04-2025	171	Gurappanapalya	4049	180.7
01-04-2025	172	Madiwala	5543	174.18
01-04-2025	173	Jakkasandra	2844	139.54
01-04-2025	174	HSR Layout	14047	589.04
01-04-2025	175	Bommanahalli	6462	297.31
01-04-2025	176	BTM Layout	7534	262.96
01-04-2025	177	J.P.Nagar	5600	185.89
01-04-2025	178	Sarakki	5634	185.99
01-04-2025	179	Shakambarinagar	3777	120.01
01-04-2025	180	Banashankari Temple Ward	5161	124.02
01-04-2025	181	Kumaraswamy Layout	8342	284.52
01-04-2025	182	Padmanabhanagar	6033	193.94
01-04-2025	183	Chikkallasandra	5157	136.88
01-04-2025	184	Uttarahalli	8753	343.42
01-04-2025	185	Yelachenahalli	6254	193.81
01-04-2025	186	Jaraganahalli	3040	86.49
01-04-2025	187	Puttenahalli	4568	156.11
01-04-2025	188	Bilekahalli	4381	257.4
01-04-2025	189	Hongasandra	8261	361.2
01-04-2025	190	Mangammanapalya	3166	91.17
01-04-2025	191	Singasandra	3301	134.07
01-04-2025	191	Singsandra	900	36.5
01-04-2025	192	Begur	5945	322.32
01-04-2025	193	Arakere	9960	365.94
01-04-2025	194	Gottigere	3488	104.74
01-04-2025	195	Konanakunte	9935	308.44
01-04-2025	196	Anjanapura	7294	278.96
01-04-2025	197	Vasanthapura	4342	167.12
01-04-2025	198	Hemmigepura	3752	82.15
01-05-2025	1	Kempegowda Ward	4216	117.162903
01-05-2025	2	Chowdeshwari Ward	460	9.834984
01-05-2025	3	Attur	6021	172.740708
01-05-2025	4	Yelahanka Satellite town	7738	394.049364
01-05-2025	5	Jakkur	3701	106.378915
01-05-2025	6	Thanisandra	3254	58.276968
01-05-2025	7	Byatarayanapura	9677	293.991676
01-05-2025	8	Kodigehalli	5326	129.718842
01-05-2025	9	Vidyaranyapura	12937	413.968716
01-05-2025	10	Doddabommasandra	1815	27.946927
01-05-2025	11	Kuvempunagar	4379	64.060929
01-05-2025	12	Shettyhalli	6941	141.255896
01-05-2025	13	Mallasandra	4488	75.69585
01-05-2025	14	Bagalagunte	8755	235.373706
01-05-2025	14	sidedahalli	1484	35.449991
01-05-2025	15	T. Dasarahalli	4563	154.369729
01-05-2025	16	Jalahalli	3106	96.624712
01-05-2025	17	J.P.Park	5734	123.920567
01-05-2025	18	Radhakrishna Temple Ward	5518	99.818419
01-05-2025	19	Sanjaynagar	5805	81.705648
01-05-2025	20	Ganganagar	3323	75.431677
01-05-2025	21	Hebbal	7440	166.686508
01-05-2025	22	VishwanathNagenahalli	3273	81.647843
01-05-2025	23	Nagavara	9030	198.581714
01-05-2025	24	HBR Layout	8045	254.881725
01-05-2025	25	Horamavu	5956	111.875924
01-05-2025	26	Ramamurthynagar	9275	258.446783
01-05-2025	27	Banasawadi	9588	290.771626
01-05-2025	28	Kammanahalli	6629	187.375704
01-05-2025	29	Kacharakanahalli	4855	137.356726
01-05-2025	30	Kadugondanahalli	5211	137.676756
01-05-2025	31	Kushalnagar	3145	55.447731
01-05-2025	32	Kavalbyrasandra	5575	119.65161
01-05-2025	33	Manorayanapalya	2656	61.842865
01-05-2025	34	Gangenahalli	2322	53.024765
01-05-2025	35	Aramane Nagar	2949	78.241563
01-05-2025	36	Mathikere	4135	87.519487
01-05-2025	37	Yeshwanthpur	3203	62.124588
01-05-2025	38	H.M.T	3651	142.55859
01-05-2025	39	Chokkasandra	5789	137.460621
01-05-2025	40	Doddabidirakalu	1	-2.00E-06
01-05-2025	41	Peenya Industrial Area	7180	200.330235
01-05-2025	42	Lakshmidevinagar	5139	110.827626
01-05-2025	43	Nandini Layout	6435	157.265414
01-05-2025	44	Marappanahalli	4440	125.935334
01-05-2025	45	Malleshwaram	3652	110.049451
01-05-2025	46	Jayachamarajendra Nagar	5315	194.482461
01-05-2025	47	Devarajeevanahalli	3758	81.421968
01-05-2025	48	Muneshwaranagar	2197	36.84481
01-05-2025	49	Lingarajapura	5709	99.4827
01-05-2025	50	Benniganahalli	5875	381.666539
01-05-2025	51	Vijinapura	6182	133.152879
01-05-2025	52	K.R.Puram	8774	160.446882
01-05-2025	53	Basavanapura	7944	167.134908
01-05-2025	54	Hoodi	5112	328.625894
01-05-2025	55	Devasandra	3201	80.751933
01-05-2025	56	A. Narayanapura	8394	227.52469
01-05-2025	57	C.V. Ramannagar	3243	82.7016
01-05-2025	58	Hosathippasandra	6018	155.931423
01-05-2025	59	Maruthiseva Nagar	5620	164.620274
01-05-2025	60	Sagayapuram	4413	97.762688
01-05-2025	61	S.K. Garden	2885	82.263737
01-05-2025	62	Ramaswamy palya	3129	78.322695
01-05-2025	63	Jayamahal	3070	114.152557
01-05-2025	64	Rajamahal	3692	89.709442
01-05-2025	65	Kadumalleshwara	5601	158.470048
01-05-2025	66	Subramanyanagar	4280	128.363623
01-05-2025	67	Nagapura	5781	178.880286
01-05-2025	68	Mahalakshmipuram	5090	131.653722
01-05-2025	69	Laggere	10193	249.190249
01-05-2025	70	Rajagopalanagar	8234	207.697362
01-05-2025	71	Hegganahalli	8638	234.217365
01-05-2025	72	herohalli	10449	211.033904
01-05-2025	73	Kottigepalya	8440	205.043573
01-05-2025	74	Shakthiganapathi nagar	6105	163.552597
01-05-2025	75	Shankaramata	5202	151.333702
01-05-2025	76	Gayathrinagar	4368	119.317522
01-05-2025	77	Dattathreya Temple	4479	115.475364
01-05-2025	78	Pulikeshinagar	3600	119.374291
01-05-2025	79	Sarvagnanagar	3447	79.854556
01-05-2025	80	Hoysalanagar	5468	161.85611
01-05-2025	81	Vignananagar	7006	196.452815
01-05-2025	82	Garudacharpalya	4335	192.16685
01-05-2025	83	Kadugodi	893	41.809977
01-05-2025	84	Hagadooru	1997	115.898916
01-05-2025	85	Doddanekkundi	5585	352.123801
01-05-2025	85	Varthur	874	80.608999
01-05-2025	86	Marathalli	4552	152.061627
01-05-2025	87	HAL Airport	4368	92.994894
01-05-2025	88	Jeevanbhimanagar	6009	154.661774
01-05-2025	89	Jogupalya	4072	133.944481
01-05-2025	90	Ulsoor	5602	334.134066
01-05-2025	91	Bharathinagar	2232	98.87974
01-05-2025	92	Shivajinagar	5127	210.734564
01-05-2025	93	Vasanthnagar	3732	247.833114
01-05-2025	94	Gandhinagar	4770	355.686467
01-05-2025	95	Subhashnagar	3091	58.777722
01-05-2025	96	Okalipuram	3419	141.619605
01-05-2025	97	Dayanandanagar	3495	83.033573
01-05-2025	98	Prakashnagar	3075	79.914633
01-05-2025	99	Rajajinagar	3914	111.847578
01-05-2025	100	Basaveshwaranagar	5761	170.032536
01-05-2025	101	Kamakshipalya	3681	101.161744
01-05-2025	102	Vrushabhavathi Nagar	4170	109.047777
01-05-2025	103	Kaveripura	5036	106.625786
01-05-2025	104	Govindrajnagara	2875	70.830807
01-05-2025	105	Agrahara Dasarahalli	3208	94.969715
01-05-2025	106	Dr. Rajkumar Ward	2468	83.199639
01-05-2025	107	Shivanagar	2453	85.293681
01-05-2025	108	Srirammandira ward	4674	119.781149
01-05-2025	109	Chikpet	5596	107.323309
01-05-2025	110	Sampangiramnagar	3008	131.926355
01-05-2025	111	Shanthala Nagar	3775	232.39305
01-05-2025	112	Dommalur	4751	192.857449
01-05-2025	113	Konena Agrahara	3931	123.475721
01-05-2025	114	Agaram	2928	152.394739
01-05-2025	115	Vannarpet	5170	108.132011
01-05-2025	116	Neelasandra	2637	63.282671
01-05-2025	117	Shanthinagar	6207	254.725243
01-05-2025	118	Sudamnagar	5143	97.420952
01-05-2025	119	Dharmarayaswamy Temple Ward	4963	95.417962
01-05-2025	120	Cottonpet	3063	60.490453
01-05-2025	121	Binnypet	4567	103.995717
01-05-2025	122	Kempapura Agrahara	3880	85.911877
01-05-2025	123	Vijaynagar	3594	91.408822
01-05-2025	124	Hosahalli	4506	118.094825
01-05-2025	125	Marenahalli	3389	90.983812
01-05-2025	126	Maruthi Mandira Ward	4021	104.771818
01-05-2025	127	Moodalapalya	5838	134.324715
01-05-2025	128	Nagarabhavi	10806	269.50334
01-05-2025	129	Jnanabharathi ward	13728	345.978554
01-05-2025	130	Ullalu	8861	193.780847
01-05-2025	131	Nayandanahalli	4342	127.168738
01-05-2025	132	Attiguppe	5472	176.13573
01-05-2025	133	Hampinagar	3027	84.724916
01-05-2025	134	Bapujinagar	4445	134.983848
01-05-2025	135	Padarayanapura	2026	72.685915
01-05-2025	136	Jagareevanram Nagar	4823	129.442654
01-05-2025	137	Rayapuram	3459	82.687897
01-05-2025	138	Chalavadipalya	2391	55.44385
01-05-2025	139	K.R. Market	2928	51.025021
01-05-2025	140	Chamrajpet	4781	167.298275
01-05-2025	141	Azadnagar	4020	106.224727
01-05-2025	142	Sunkenahalli	2892	65.56778
01-05-2025	143	Vishweshrapuram	4731	118.150168
01-05-2025	144	Siddapura	4482	123.53897
01-05-2025	145	Hombegowdanagar	6512	195.781641
01-05-2025	146	Lakkasandra	2834	99.351478
01-05-2025	147	Adugodi	3410	111.336782
01-05-2025	148	Ejipura	4783	138.261629
01-05-2025	149	Varthur	3304	162.719888
01-05-2025	150	Bellandur	4586	366.236874
01-05-2025	151	Koramangala	7141	293.649218
01-05-2025	152	Sudduguntepalya	4065	150.231599
01-05-2025	153	Jayanagar	339	8.532939
01-05-2025	153	Jayangar	3639	177.259488
01-05-2025	154	Basavanagudi	5790	145.827207
01-05-2025	155	Hanumanthanagar	4134	91.831765
01-05-2025	156	Srinagar	5669	150.041763
01-05-2025	157	Gali Anjaneya swamy Temple Ward	5380	144.656701
01-05-2025	158	Deepanjali Nagar	2932	84.863883
01-05-2025	159	Kengeri	14370	285.263301
01-05-2025	160	Rajarajeshwarinagar	16178	461.200442
01-05-2025	161	Hosakerehalli	7352	174.81071
01-05-2025	162	Girinagar	7722	191.641687
01-05-2025	163	Katriguppe	6514	148.072706
01-05-2025	164	Vidyapeetha Ward	4754	107.475651
01-05-2025	165	Ganeshmandira Ward	4492	114.317599
01-05-2025	166	Karisandra	4635	121.679634
01-05-2025	167	Yadiyuru	4395	110.009544
01-05-2025	168	Pattabhiramnagar	4310	143.078301
01-05-2025	169	Byrasandra	3834	118.080591
01-05-2025	170	Jayanagar East	3885	106.826715
01-05-2025	171	Gurappanapalya	4053	181.812726
01-05-2025	172	Madiwala	5565	174.516595
01-05-2025	173	Jakkasandra	2855	135.570756
01-05-2025	174	HSR Layout	14074	570.214951
01-05-2025	175	Bommanahalli	6496	292.759758
01-05-2025	176	BTM Layout	7547	256.100431
01-05-2025	177	J.P.Nagar	5605	184.008591
01-05-2025	178	Sarakki	5625	177.076511
01-05-2025	179	Shakambarinagar	3775	113.926578
01-05-2025	180	Banashankari Temple Ward	5167	118.676678
01-05-2025	181	Kumaraswamy Layout	8353	265.596624
01-05-2025	182	Padmanabhanagar	6033	181.428747
01-05-2025	183	Chikkallasandra	5161	135.428797
01-05-2025	184	Uttarahalli	9027	319.669838
01-05-2025	185	Yelachenahalli	6472	190.473755
01-05-2025	186	Jaraganahalli	3042	79.164828
01-05-2025	187	Puttenahalli	4586	153.1398
01-05-2025	188	Bilekahalli	4382	243.745832
01-05-2025	189	Hongasandra	8287	350.52686
01-05-2025	190	Mangammanapalya	3197	90.89089
01-05-2025	191	Singasandra	3366	130.493976
01-05-2025	191	Singsandra	906	35.801957
01-05-2025	192	Begur	6254	317.500943
01-05-2025	193	Arakere	9985	367.116503
01-05-2025	194	Gottigere	3616	97.966944
01-05-2025	195	Konanakunte	9973	295.339582
01-05-2025	196	Anjanapura	7529	277.485835
01-05-2025	197	Vasanthapura	4341	151.926934
01-05-2025	198	Hemmigepura	3932	87.627895
01-06-2025	1	Kempegowda Ward	4218	112.883906
01-06-2025	2	Chowdeshwari Ward	460	9.808984
01-06-2025	3	Attur	6109	170.257709
01-06-2025	4	Yelahanka Satellite town	7741	405.676363
01-06-2025	5	Jakkur	3752	108.076916
01-06-2025	6	Thanisandra	3568	53.430968
01-06-2025	7	Byatarayanapura	9681	300.193673
01-06-2025	8	Kodigehalli	5334	134.167843
01-06-2025	9	Vidyaranyapura	12942	413.181715
01-06-2025	10	Doddabommasandra	1821	28.410926
01-06-2025	11	Kuvempunagar	4395	65.055924
01-06-2025	12	Shettyhalli	7363	140.510895
01-06-2025	13	Mallasandra	4505	74.839848
01-06-2025	14	Bagalagunte	8761	232.996703
01-06-2025	14	sidedahalli	1530	40.214991
01-06-2025	15	T. Dasarahalli	4567	145.757728
01-06-2025	16	Jalahalli	3105	94.738711
01-06-2025	17	J.P.Park	5734	130.249564
01-06-2025	18	Radhakrishna Temple Ward	5520	100.244418
01-06-2025	19	Sanjaynagar	5805	85.176647
01-06-2025	20	Ganganagar	3328	72.917677
01-06-2025	21	Hebbal	7455	168.077498
01-06-2025	22	VishwanathNagenahalli	3277	79.76684
01-06-2025	23	Nagavara	9052	198.719715
01-06-2025	24	HBR Layout	8075	240.231719
01-06-2025	25	Horamavu	6532	122.770924
01-06-2025	26	Ramamurthynagar	9330	263.872784
01-06-2025	27	Banasawadi	9609	288.539625
01-06-2025	28	Kammanahalli	6628	183.093704
01-06-2025	29	Kacharakanahalli	4861	134.685729
01-06-2025	30	Kadugondanahalli	5210	138.964754
01-06-2025	31	Kushalnagar	3137	58.157739
01-06-2025	32	Kavalbyrasandra	5576	112.744608
01-06-2025	33	Manorayanapalya	2664	59.735868
01-06-2025	34	Gangenahalli	2322	48.011764
01-06-2025	35	Aramane Nagar	2953	79.791557
01-06-2025	36	Mathikere	4135	90.985492
01-06-2025	37	Yeshwanthpur	3208	61.783584
01-06-2025	38	H.M.T	3654	137.555591
01-06-2025	39	Chokkasandra	5811	140.930617
01-06-2025	40	Doddabidirakalu	1	-2.00E-06
01-06-2025	41	Peenya Industrial Area	7549	195.207224
01-06-2025	42	Lakshmidevinagar	5141	105.117626
01-06-2025	43	Nandini Layout	6437	154.325416
01-06-2025	44	Marappanahalli	4439	124.247324
01-06-2025	45	Malleshwaram	3652	105.58145
01-06-2025	46	Jayachamarajendra Nagar	5320	181.330459
01-06-2025	47	Devarajeevanahalli	3766	80.001968
01-06-2025	48	Muneshwaranagar	2197	37.13181
01-06-2025	49	Lingarajapura	5721	95.288697
01-06-2025	50	Benniganahalli	5855	367.850544
01-06-2025	51	Vijinapura	6196	129.934883
01-06-2025	52	K.R.Puram	8831	168.301882
01-06-2025	53	Basavanapura	8086	188.70491
01-06-2025	54	Hoodi	5137	315.296895
01-06-2025	55	Devasandra	3223	81.481933
01-06-2025	56	A. Narayanapura	8396	228.107695
01-06-2025	57	C.V. Ramannagar	3244	81.322603
01-06-2025	58	Hosathippasandra	6020	151.458424
01-06-2025	59	Maruthiseva Nagar	5577	161.298277
01-06-2025	60	Sagayapuram	4406	98.364688
01-06-2025	61	S.K. Garden	2880	79.395742
01-06-2025	62	Ramaswamy palya	3129	78.750696
01-06-2025	63	Jayamahal	3072	119.963553
01-06-2025	64	Rajamahal	3692	92.203438
01-06-2025	65	Kadumalleshwara	5601	157.508054
01-06-2025	66	Subramanyanagar	4280	121.23062
01-06-2025	67	Nagapura	5780	176.13729
01-06-2025	68	Mahalakshmipuram	5090	119.764729
01-06-2025	69	Laggere	10212	248.021244
01-06-2025	70	Rajagopalanagar	8244	201.164368
01-06-2025	71	Hegganahalli	8643	241.877364
01-06-2025	72	herohalli	10672	206.230903
01-06-2025	73	Kottigepalya	8452	204.271573
01-06-2025	74	Shakthiganapathi nagar	6108	161.789599
01-06-2025	75	Shankaramata	5206	148.415701
01-06-2025	76	Gayathrinagar	4371	118.492529
01-06-2025	77	Dattathreya Temple	4480	115.808363
01-06-2025	78	Pulikeshinagar	3576	118.685301
01-06-2025	79	Sarvagnanagar	3434	79.998555
01-06-2025	80	Hoysalanagar	5465	154.061095
01-06-2025	81	Vignananagar	7018	199.512806
01-06-2025	82	Garudacharpalya	4339	188.172849
01-06-2025	83	Kadugodi	937	46.608975
01-06-2025	84	Hagadooru	1998	123.214916
01-06-2025	85	Doddanekkundi	5600	349.213803
01-06-2025	85	Varthur	1000	90.128999
01-06-2025	86	Marathalli	4592	158.856624
01-06-2025	87	HAL Airport	4369	93.435892
01-06-2025	88	Jeevanbhimanagar	6008	152.305768
01-06-2025	89	Jogupalya	4071	128.261486
01-06-2025	90	Ulsoor	5605	327.026064
01-06-2025	91	Bharathinagar	2232	96.06074
01-06-2025	92	Shivajinagar	5135	208.052563
01-06-2025	93	Vasanthnagar	3732	253.786112
01-06-2025	94	Gandhinagar	4770	384.449458
01-06-2025	95	Subhashnagar	3091	59.783722
01-06-2025	96	Okalipuram	3419	131.033607
01-06-2025	97	Dayanandanagar	3496	84.843577
01-06-2025	98	Prakashnagar	3074	82.649624
01-06-2025	99	Rajajinagar	3920	115.832573
01-06-2025	100	Basaveshwaranagar	5763	172.070536
01-06-2025	101	Kamakshipalya	3682	95.97975
01-06-2025	102	Vrushabhavathi Nagar	4171	99.551777
01-06-2025	103	Kaveripura	5037	108.619788
01-06-2025	104	Govindrajnagara	2877	67.934803
01-06-2025	105	Agrahara Dasarahalli	3209	93.150714
01-06-2025	106	Dr. Rajkumar Ward	2469	85.758641
01-06-2025	107	Shivanagar	2454	88.380684
01-06-2025	108	Srirammandira ward	4675	118.221152
01-06-2025	109	Chikpet	5597	113.139306
01-06-2025	110	Sampangiramnagar	3008	132.975356
01-06-2025	111	Shanthala Nagar	3775	234.345048
01-06-2025	112	Dommalur	4756	198.061445
01-06-2025	113	Konena Agrahara	3932	131.062724
01-06-2025	114	Agaram	2928	157.703739
01-06-2025	115	Vannarpet	5170	108.512011
01-06-2025	116	Neelasandra	2639	63.21267
01-06-2025	117	Shanthinagar	6210	246.346237
01-06-2025	118	Sudamnagar	5143	102.94595
01-06-2025	119	Dharmarayaswamy Temple Ward	4968	99.841961
01-06-2025	120	Cottonpet	3063	63.654457
01-06-2025	121	Binnypet	4568	105.210713
01-06-2025	122	Kempapura Agrahara	3892	88.038879
01-06-2025	123	Vijaynagar	3600	93.564817
01-06-2025	124	Hosahalli	4507	117.534827
01-06-2025	125	Marenahalli	3389	94.15481
01-06-2025	126	Maruthi Mandira Ward	4021	101.675819
01-06-2025	127	Moodalapalya	5843	134.363714
01-06-2025	128	Nagarabhavi	10830	260.820342
01-06-2025	129	Jnanabharathi ward	13787	333.93756
01-06-2025	130	Ullalu	9012	193.315846
01-06-2025	131	Nayandanahalli	4349	124.739735
01-06-2025	132	Attiguppe	5472	173.85573
01-06-2025	133	Hampinagar	3027	84.487917
01-06-2025	134	Bapujinagar	4458	132.311846
01-06-2025	135	Padarayanapura	2027	73.043915
01-06-2025	136	Jagareevanram Nagar	4827	131.270654
01-06-2025	137	Rayapuram	3459	81.732898
01-06-2025	138	Chalavadipalya	2391	55.790851
01-06-2025	139	K.R. Market	2928	54.062027
01-06-2025	140	Chamrajpet	4785	165.876273
01-06-2025	141	Azadnagar	4026	109.803729
01-06-2025	142	Sunkenahalli	2893	66.158773
01-06-2025	143	Vishweshrapuram	4732	122.120172
01-06-2025	144	Siddapura	4483	127.001971
01-06-2025	145	Hombegowdanagar	6521	199.944646
01-06-2025	146	Lakkasandra	2834	95.688479
01-06-2025	147	Adugodi	3410	108.204782
01-06-2025	148	Ejipura	4786	138.668628
01-06-2025	149	Varthur	3304	167.414887
01-06-2025	150	Bellandur	4766	334.916877
